feature,gain,perm,shap,score,fold
SlogP_VSA10,568.695360660553,0.00019686444948881497,0.00042283516483480627,0.336405930875576,1
SlogP_VSA11,570.0534281730652,-2.4749278637536953e-05,0.0009215812127741346,0.18663635023041475,1
SlogP_VSA2,8541.921115159988,0.008054405637855389,0.029092159203904632,0.9308764976958525,1
SlogP_VSA3,1866.0030601024628,0.00046694734031484943,0.0031272670986440187,0.5921664838709678,1
SlogP_VSA4,2257.9739367961884,0.00025895603439750613,0.0013658692089623897,0.42396374193548386,1
SlogP_VSA5,3367.4705286026,0.0017725340525619304,0.012821878657965117,0.8364062073732719,1
SlogP_VSA6,4320.75253200531,0.010619187794906598,0.030575932309204606,0.9423970460829493,1
SlogP_VSA8,187.4798605442047,0.0003687560894741593,0.0008867628483819327,0.42165924884792627,1
TPSA,6472.850711345673,0.003748663531536023,0.012079347965954723,0.8709685898617512,1
EState_VSA1,2152.3994829654694,2.2718124273524155e-05,0.0009812858693057389,0.29262733179723505,1
EState_VSA10,368.05965185165405,2.5484428411720604e-05,0.0002480888863957051,0.2258068156682028,1
EState_VSA2,5977.623017311096,0.0004471027902108515,0.0022890763458705433,0.541475460829493,1
EState_VSA3,5419.578819513321,3.608944415900428e-05,0.0021729252270029343,0.3963141428571428,1
EState_VSA4,4360.445537805557,0.00023792525627827632,0.002313320483723877,0.48847999999999997,1
EState_VSA5,2925.0501832962036,2.8946009655134165e-05,0.0014170978736534198,0.3271895898617512,1
EState_VSA6,2288.0052785873413,0.00039170162324415057,0.0023759636670347825,0.5368669769585254,1
EState_VSA7,2314.3424727916718,0.0002784147329284614,0.002014625176028193,0.4815674423963134,1
EState_VSA8,5891.174591302872,0.0010597141156646229,0.010349228118030445,0.7580653133640552,1
EState_VSA9,3199.1059880256653,0.00038409879305911776,0.001825297815116506,0.4884799262672811,1
VSA_EState1,4008.7724990844727,0.0004243520914017196,0.0029243985333008843,0.5668209953917052,1
VSA_EState2,9194.820867061615,0.018187983204733082,0.04219368655871578,0.9539179953917051,1
VSA_EState3,6197.982179641724,0.0004836320278873263,0.0033615321398022275,0.6013833133640553,1
VSA_EState4,6039.507533073425,0.001609494725857885,0.008252888127670596,0.7834109539170506,1
VSA_EState5,7562.231272697449,0.001448783547211141,0.0046053234691358766,0.7142866082949307,1
VSA_EState6,5522.633957862854,0.0013489371162379083,0.003979150755764912,0.6912450230414746,1
VSA_EState7,9148.04532790184,0.0009125369022644547,0.0042955052631338374,0.6612912626728111,1
VSA_EState8,6588.841665267944,0.0002851483555387557,0.0023428211768033074,0.5023050092165898,1
VSA_EState9,2632.895332813263,0.0016199137781248874,0.006518292011080887,0.7626734516129032,1
FractionCSP3,7801.322723150253,0.08973324889781567,0.12035731551103614,0.9884801658986175,1
HeavyAtomCount,0.0,0.0,0.0,0.0737327603686636,1
NHOHCount,521.4318561553955,3.362632783638353e-05,0.00022876382619901577,0.239631732718894,1
NOCount,178.2908697128296,4.14290402800499e-05,0.0006327810311438427,0.2880186866359447,1
NumAliphaticCarbocycles,688.4088931083679,0.0016611052886845168,0.003620755826577947,0.711982,1
NumAliphaticHeterocycles,1467.9463334083557,0.0021168636502554793,0.009167179377070522,0.8294936313364055,1
NumAliphaticRings,486.6000373363495,0.001014733135614726,0.0028740978877378727,0.6244243548387097,1
NumAmideBonds,2007.9785537719727,0.007734263831911342,0.02092676910291361,0.9147471428571429,1
NumAromaticCarbocycles,0.0,0.0,0.0,0.0737327603686636,1
NumAromaticHeterocycles,172.58784985542297,-4.156584405786146e-05,0.0009756322330619389,0.18663618894009215,1
NumAromaticRings,42.557799339294434,0.0001543708650657616,0.00057616575973903,0.3364056728110599,1
NumAtomStereoCenters,848.9963812828064,0.0003028186679690237,0.001448690803023861,0.4493092350230415,1
NumBridgeheadAtoms,997.0319397449493,0.0017723240986339595,0.005121697693344041,0.7557608663594471,1
NumHAcceptors,953.192015171051,0.0015308283298610837,0.006710144837281439,0.7626733041474655,1
NumHDonors,336.7758598327637,0.00011052178098499565,0.00021166010118884543,0.28341048387096773,1
NumHeteroatoms,114.03553009033203,3.658051728600564e-05,0.0005111543798584853,0.27649789861751156,1
NumHeterocycles,485.74866676330566,0.000389592515835685,0.0028348520764476482,0.5506916313364055,1
NumRotatableBonds,1141.1931631565094,0.0006652410052432389,0.003665457061578082,0.6267286221198156,1
NumSaturatedCarbocycles,738.6294460296631,0.001544414212765416,0.004539144256983093,0.7211986221198156,1
NumSaturatedHeterocycles,474.5303497314453,0.00026282398730412824,0.0014474333958268816,0.43548424423963134,1
NumSaturatedRings,474.8604624271393,0.0006567616657938147,0.004938901022367663,0.6520741105990784,1
NumSpiroAtoms,642.7137715816498,5.7150383016213445e-05,0.0016944799533805508,0.38479305069124425,1
Phi,2708.5863406658173,0.000389127054912225,0.0029172167932234047,0.5553001843317972,1
RingCount,44.82417058944702,0.00010529019372252923,0.0002593746862998482,0.2926268755760369,1
MolLogP,8426.104724407196,0.005380998153321703,0.022629526434407733,0.9032267235023043,1
MolMR,6199.275121927261,0.0006398477051421548,0.0032394568834418444,0.6059916129032258,1
fr_Al_COO,93.719309091568,0.0002947968319621186,0.0006449657445864067,0.3847928156682028,1
fr_Al_OH,197.69419860839844,-2.3798980408323846e-05,0.00022612865136979702,0.11751180184331797,1
fr_Al_OH_noTert,141.67793893814087,1.6179914740555023e-05,0.00019652976747743772,0.20506935483870967,1
fr_ArN,63.40157103538513,-7.346257484336372e-06,6.165422860968731e-05,0.08755777419354839,1
fr_Ar_COO,0.0,0.0,0.0,0.0737327603686636,1
fr_Ar_N,322.8554916381836,0.00045458510469373326,0.0016657261394091485,0.500000331797235,1
fr_Ar_NH,783.3536019325256,0.001430175326755101,0.006601003894235583,0.7465442534562212,1
fr_Ar_OH,22.71843981742859,-1.535746492381529e-06,1.7667928898054696e-05,0.08064526267281107,1
fr_COO,0.0,0.0,0.0,0.0737327603686636,1
fr_C_O,40.40113019943237,1.3155219153071495e-06,1.6425472794547988e-05,0.1336406866359447,1
fr_HOCCN,50.17550039291382,-2.0926587673264496e-05,0.00028835998696146836,0.1405531474654378,1
fr_Imine,452.5384702682495,0.00021152443927297538,0.0006519620563526274,0.36405566820276497,1
fr_NH0,850.8157994747162,9.053089909659695e-05,0.0011185879317604597,0.3686640783410138,1
fr_NH1,702.2276082038879,0.00043106917178306614,0.0016134709765928544,0.4884797004608295,1
fr_NH2,37.760611057281494,-2.609205840192752e-06,2.898811937236793e-05,0.08525358525345622,1
fr_Ndealkylation1,276.6870188713074,0.0003261993250109452,0.001842821187425373,0.481567133640553,1
fr_Ndealkylation2,619.4874658584595,0.0009203575048039314,0.0027522264303326757,0.6105994930875576,1
fr_aldehyde,9596.653682231903,0.06922589056643584,0.07953286085247943,0.9815677788018433,1
fr_alkyl_carbamate,18.056260585784912,1.3975626449924672e-05,8.841758286044337e-05,0.18433188479262672,1
fr_alkyl_halide,0.0,0.0,0.0,0.0737327603686636,1
fr_allylic_oxid,120.7932186126709,6.481158223266003e-05,0.00027327765711411295,0.2764979032258065,1
fr_amidine,228.83937978744507,4.996292436059702e-05,0.0007201425030444513,0.3087560599078341,1
fr_aniline,54.32733917236328,5.197281687907562e-06,8.491860166710541e-05,0.17050706912442395,1
fr_aryl_methyl,121.52092981338501,9.801504033456477e-05,0.0002794611950346011,0.2995393824884793,1
fr_benzene,0.0,0.0,0.0,0.0737327603686636,1
fr_bicyclic,1996.9503676891327,0.003017656060866658,0.006305820350062093,0.8064522073732718,1
fr_epoxide,1753.5059781074524,0.0064174829333238205,0.015360098947713263,0.8986180829493088,1
fr_ester,313.4748001098633,0.0002904491201159654,0.0010515176309540243,0.42165930875576035,1
fr_ether,138.52737045288086,0.00013453153604441325,0.001377643495599685,0.3894011474654378,1
fr_furan,59.497769832611084,2.948168212202895e-05,0.00012877448395615085,0.20737343778801842,1
fr_guanido,0.0,0.0,0.0,0.0737327603686636,1
fr_halogen,0.0,0.0,0.0,0.0737327603686636,1
fr_imidazole,324.4412932395935,2.445343880425055e-05,0.00032218993610838906,0.24654411520737327,1
fr_imide,210.7085189819336,5.6478430526807347e-08,2.794598436898869e-05,0.13364084331797235,1
fr_ketone,8032.1043038368225,0.0357655712254454,0.06288268502294286,0.9677428433179723,1
fr_ketone_Topliss,127.43414998054504,8.729126711368163e-05,0.00029018723737543226,0.2972352442396313,1
fr_lactam,214.736008644104,0.00022699338417103698,0.0010185998168873688,0.40322610138248843,1
fr_lactone,41.035358905792236,4.86734713791015e-06,7.022889887921298e-06,0.1359448387096774,1
fr_methoxy,191.95402002334595,3.056715978033142e-05,0.00017884740996316627,0.22350257603686635,1
fr_morpholine,196.1617512702942,3.3194748982390276e-05,0.00026266634875619,0.24654405529953916,1
fr_nitrile,100.76418972015381,-1.1839917529360421e-05,8.08550231213175e-05,0.08986194930875575,1
fr_nitro,0.0,0.0,0.0,0.0737327603686636,1
fr_nitro_arom,0.0,0.0,0.0,0.0737327603686636,1
fr_oxazole,161.5019087791443,0.00018014701443294645,0.0006511308109223227,0.3502306543778802,1
fr_oxime,67.79932045936584,4.406896011257544e-05,0.00025818950408694176,0.2557605483870968,1
fr_para_hydroxylation,0.0,0.0,0.0,0.0737327603686636,1
fr_phenol,0.0,0.0,0.0,0.0737327603686636,1
fr_phenol_noOrthoHbond,0.0,0.0,0.0,0.0737327603686636,1
fr_piperdine,338.7359609603882,0.00034198410728429883,0.0012070530963802597,0.44239666359447,1
fr_piperzine,57.018269062042236,4.18196633908241e-05,0.0007595325049806087,0.3064517741935484,1
