number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
77,0.20361919911493018,2026-07-23 05:23:36.439375,2026-07-23 05:26:11.169604,0 days 00:02:34.730229,0.8555349944400487,0.03885478097115671,11,16.79357879691862,1900,0.11415427177865799,0.7420639782557052,0.9077910734347105,COMPLETE
78,0.20464807239915409,2026-07-23 05:26:11.178176,2026-07-23 05:28:51.110021,0 days 00:02:39.931845,0.8617389811642326,0.03388481163339643,11,16.869354445785515,1900,0.17606112149896658,2.402553498991377,0.9139335866681285,COMPLETE
79,0.20431315216500234,2026-07-23 05:28:51.117482,2026-07-23 05:32:29.582549,0 days 00:03:38.465067,0.8869662162691836,0.02732993018472559,12,16.610643940056065,2100,0.16664526278373148,3.1406907772915797,0.9115657362424916,COMPLETE
80,0.2046376542047866,2026-07-23 05:32:29.590348,2026-07-23 05:35:36.011287,0 days 00:03:06.420939,0.8607447280180291,0.02788777814190216,11,17.925434568898034,2200,0.11421484790917291,2.464030767774274,0.9129350542180763,COMPLETE
81,0.20455208301692954,2026-07-23 05:35:36.018463,2026-07-23 05:38:29.951327,0 days 00:02:53.932864,0.8586884549416087,0.03398695503589833,11,17.71038977534099,2100,0.08183307241106888,3.058731397742363,0.911075696761915,COMPLETE
82,0.2043132240446029,2026-07-23 05:38:29.959523,2026-07-23 05:41:44.446174,0 days 00:03:14.486651,0.8804719291998977,0.026783957844105716,11,17.83900008283652,2200,0.10390264339210474,3.5651898338762247,0.9130617034966446,COMPLETE
83,0.20455388784705847,2026-07-23 05:41:44.454515,2026-07-23 05:44:51.922983,0 days 00:03:07.468468,0.884920634783362,0.027705678342744962,11,19.11707704865718,2200,0.12171507155493529,3.8692726968138658,0.9205528080537091,COMPLETE
84,0.20505452441152067,2026-07-23 05:44:51.930803,2026-07-23 05:48:04.385109,0 days 00:03:12.454306,0.9315314495307698,0.026591219025868525,11,19.047519416801485,2200,0.10817252794590795,3.7035371017396974,0.9220747168005065,COMPLETE
85,0.2055057458402212,2026-07-23 05:48:04.392539,2026-07-23 05:51:24.680588,0 days 00:03:20.288049,0.9611061735058273,0.02390482769149027,11,18.446815670845254,2200,0.0723387620326718,6.95512379541236,0.9123149036314993,COMPLETE
86,0.2042714601306271,2026-07-23 05:51:24.688296,2026-07-23 05:55:29.644539,0 days 00:04:04.956243,0.885971912688789,0.018206074388260277,12,19.971682783928173,2400,0.14835737039449734,2.5383317363881623,0.8900545420291093,COMPLETE
87,0.20432793888301126,2026-07-23 05:55:29.652342,2026-07-23 05:59:42.757868,0 days 00:04:13.105526,0.8857565004904706,0.01887950762592632,12,17.639947581986938,2400,0.14584221352326016,2.932611152169897,0.8915675814854014,COMPLETE
88,0.20477965863105912,2026-07-23 05:59:42.764952,2026-07-23 06:03:50.119153,0 days 00:04:07.354201,0.8885910029270311,0.013749623127934525,12,19.576597392809465,2400,0.13997793252124696,2.864333172485573,0.8879458307908696,COMPLETE
89,0.20462294806452933,2026-07-23 06:03:50.127499,2026-07-23 06:07:50.930066,0 days 00:04:00.802567,0.9031885859655213,0.018817838992209467,11,17.855389467188242,2500,0.049950678853014734,4.795416620641222,0.9306062452835732,COMPLETE
